Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
MFGQ.SFA1CA,1992.12,2493.37,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1993.03,3209.2,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1993.06,2780.17,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1993.09,1933.01,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1993.12,2692.92,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1994.03,3079.61,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1994.06,2668.49,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1994.09,1812.22,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1994.12,2916.07,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1995.03,3119.33,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1995.06,2674.09,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1995.09,2023.88,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1995.12,3087.45,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1996.03,3698.42,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1996.06,3008.7,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1996.09,1893.31,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1996.12,3176.28,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1997.03,3543.9,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
MFGQ.SFA1CA,1997.06,3062.11,,F,Dollars,6,Manufacturing Survey (ANZSIC06) - MFG,Industry by variable - Subannual Financial Collection,Meat and dairy product manufacturing,Sales (operating income),Current prices,Unadjusted,
